Time,Price,Items,MCFU
876,46.79,14,2
2174,81.67999999999999,18,2
3065,125.58,30,6
2213,73.26,32,12
1522,61.44,23,5
1502,76.41,18,6
866,93.66,14,4
378,2.2399999999999998,6,1
1472,73.2,29,5
2417,89.47,25,7
1254,52.85,11,5
864,21.65,9,2
2113,74.49,39,13
2207,61.31,20,4
1307,89.76,21,6
1541,89.49,25,5
1297,35.68,19,4
1898,86.35,19,9
1768,76.33,21,5
3238,99.35,23,8
1306,93.63,20,1
1779,45.230000000000004,28,5
2700,89.0,24,8
2579,47.410000000000004,24,10
1622,53.33,11,2
995,24.13,12,6
628,8.62,3,1
2782,122.44,39,8
1610,34.23,23,7
1789,89.37,19,4
1567,74.71,23,9
1320,117.81,25,6
1091,78.23,13,2
2833,68.16,28,13
2327,48.07,26,6
2256,49.38,26,8
3210,73.89,32,9
3148,138.97,33,8
1263,104.91,22,6
3427,191.29,44,11
2160,80.44,34,9
347,29.71,8,2
1047,32.05,14,4
4140,50.21,29,8
1375,24.62,17,2
2818,65.66,21,6
1574,59.25,17,3
1681,27.95,21,8
1254,19.59,15,5
2002,118.63,28,7
2375,105.13,16,1
2035,43.76,21,7
2564,66.14,21,6
1717,50.87,11,2
3248,162.72,37,8
1390,51.54,17,5
523,9.13,4,1
1393,42.29,14,5
1296,38.61,17,3
3604,144.2,29,11
692,12.549999999999999,9,1
1078,48.36,10,2
1221,71.41,14,6
1326,118.08,24,8
1976,141.31,32,5
2399,140.6,23,4
420,48.02,7,1
972,36.21,14,3
1052,101.08,20,8
2284,47.01,18,4
2363,73.7,24,2
1528,59.12,18,4
898,39.65,10,4
1209,41.73,13,1
961,30.18,12,2
1762,37.8,13,5
1170,59.989999999999995,14,4
6086,237.67,71,18
1046,68.28999999999999,20,5
880,55.51,18,9
254,44.46,6,2
3498,167.21,45,12
1908,23.419999999999998,21,2
1368,60.3,15,8
3396,39.89,22,7
1838,34.7,18,3
3424,84.92,28,6
1445,35.93,19,4
2128,26.81,14,3
2891,79.93,18,6
4118,52.69,26,9
2466,103.5,30,7
3206,52.160000000000004,23,7
3700,185.94,41,7
970,61.97,12,6
1419,71.1,15,4
1935,99.32000000000001,30,13
1831,82.95,17,5
2138,109.72,25,5
1720,81.24,20,3
4839,128.48,46,13
2720,90.53,24,5
1657,102.8,18,7
4852,152.65,55,14
3227,111.55,44,7
2741,81.59,29,4
2233,128.07999999999998,29,9
2317,103.71,22,6
1317,95.68,20,5
1346,38.410000000000004,18,7
1887,155.06,30,3
836,32.37,8,4
1841,82.35,20,7
1894,33.19,18,7
1453,36.57,23,9
171,3.48,3,0
1893,40.589999999999996,22,6
2047,47.22,30,2
1464,85.36,22,4
2192,116.82000000000001,24,7
2377,97.19,25,9
3061,118.44,27,7
1260,26.61,10,4
1866,50.22,23,7
2362,110.66,30,9
1009,34.63,11,2
1921,109.28,31,9
1896,47.92,30,4
1784,112.06,21,7
1257,62.07,14,4
1876,57.11,15,5
1570,92.64,24,4
3427,173.52,40,10
1856,73.2,20,5
